iter	Passed	Remaining
807	2129	506
808	2132	503
809	2134	500
810	2137	498
811	2139	495
812	2142	492
813	2144	490
814	2148	487
815	2151	485
816	2153	482
817	2155	479
818	2158	477
819	2160	474
820	2163	471
821	2166	469
822	2168	466
823	2170	463
824	2173	460
825	2174	458
826	2177	455
827	2179	452
828	2181	450
829	2184	447
830	2186	444
831	2188	441
832	2190	439
833	2192	436
834	2194	433
835	2197	431
836	2199	428
837	2202	425
838	2204	423
839	2207	420
840	2210	417
841	2212	415
842	2215	412
843	2217	409
844	2220	407
845	2222	404
846	2225	402
847	2228	399
848	2230	396
849	2233	394
850	2235	391
851	2237	388
852	2240	386
853	2243	383
854	2245	380
855	2247	378
856	2250	375
857	2252	372
858	2255	370
859	2258	367
860	2261	365
861	2263	362
862	2265	359
863	2268	357
864	2271	354
865	2273	351
866	2276	349
867	2278	346
868	2280	343
869	2283	341
870	2285	338
871	2288	335
872	2291	333
873	2293	330
874	2295	327
875	2297	325
876	2299	322
877	2302	319
878	2304	317
879	2307	314
880	2310	312
881	2312	309
882	2314	306
883	2317	304
884	2319	301
885	2322	298
886	2324	296
887	2326	293
888	2328	290
889	2331	288
890	2335	285
891	2337	283
892	2340	280
893	2342	277
894	2344	275
895	2346	272
896	2351	269
897	2353	267
898	2356	264
899	2358	262
900	2360	259
901	2364	256
902	2367	254
903	2369	251
904	2371	248
905	2374	246
906	2377	243
907	2381	241
908	2383	238
909	2385	235
910	2387	233
911	2390	230
912	2393	228
913	2395	225
914	2398	222
915	2437	223
916	2440	220
917	2443	218
918	2446	215
919	2449	212
920	2451	210
921	2454	207
922	2456	204
923	2478	203
924	2480	201
925	2483	198
926	2486	195
927	2488	193
928	2492	190
929	2494	187
930	2501	185
931	2504	182
932	2508	180
933	2511	177
934	2514	174
935	2516	172
936	2519	169
937	2531	167
938	2533	164
939	2536	161
940	2540	159
941	2543	156
942	2555	154
943	2558	151
944	2560	149
945	2563	146
946	2565	143
947	2568	140
948	2571	138
949	2574	135
950	2576	132
951	2579	130
952	2582	127
953	2584	124
954	2588	121
955	2590	119
956	2593	116
